"sensor","value","time","id"
"TCB",21.60,"2020-04-12 10:38:56",614745
"HUMB",30.00,"2020-04-12 10:53:56",614761
"TCB",21.80,"2020-04-12 10:53:56",614763
"TCB",21.90,"2020-04-13 10:38:57",616536
"HUMB",58.00,"2020-04-13 10:53:57",616552
"TCB",17.30,"2020-04-13 10:53:57",616554
"HUMB",43.00,"2020-04-13 09:08:57",616453
"TCB",19.10,"2020-04-13 09:08:57",616455
"HUMB",50.00,"2020-04-14 10:38:56",618280
"HUMB",38.00,"2020-04-13 09:53:56",616489
"TCB",21.90,"2020-04-13 09:53:56",616491
"HUMB",38.00,"2020-04-13 10:08:56",616498
"TCB",21.10,"2020-04-13 10:08:56",616500
"HUMB",35.00,"2020-04-13 10:23:57",616516
"TCB",22.20,"2020-04-13 10:23:57",616518
"HUMB",40.00,"2020-04-13 10:38:57",616534
"HUMB",53.00,"2020-04-14 09:08:56",618181
"TCB",6.20,"2020-04-14 09:08:56",618183
"HUMB",45.00,"2020-04-14 09:23:56",618199
"TCB",9.30,"2020-04-14 09:23:56",618201
"HUMB",52.00,"2020-04-14 09:38:56",618217
"TCB",9.10,"2020-04-14 09:38:56",618219
"HUMB",45.00,"2020-04-14 09:53:56",618235
"TCB",9.30,"2020-04-14 10:38:56",618282
"TCB",11.40,"2020-04-14 09:53:56",618237
"HUMB",46.00,"2020-04-14 10:53:56",618289
"HUMB",66.00,"2020-04-14 10:23:56",618262
"TCB",6.70,"2020-04-14 10:23:56",618264
"TCB",9.20,"2020-04-14 10:53:56",618291
"HUMB",40.00,"2020-04-15 09:23:57",619774
"TCB",13.40,"2020-04-15 09:23:57",619776
"HUMB",38.00,"2020-04-15 09:38:57",619792
"TCB",14.70,"2020-04-15 09:38:57",619794
"HUMB",32.00,"2020-04-15 10:08:57",619819
"TCB",15.30,"2020-04-15 10:08:57",619821
"HUMB",35.00,"2020-04-15 10:23:57",619837
"TCB",14.80,"2020-04-15 10:23:57",619839
"HUMB",41.00,"2020-04-15 09:08:56",619756
"TCB",12.50,"2020-04-15 09:08:56",619758
"HUMB",34.00,"2020-04-15 10:38:56",619855
"TCB",15.40,"2020-04-15 10:38:56",619857
"HUMB",35.00,"2020-04-15 10:53:57",619873
"TCB",15.10,"2020-04-15 10:53:57",619875
"HUMB",43.00,"2020-04-16 09:08:56",621619
"HUMB",31.00,"2020-04-16 10:23:56",621700
"TCB",21.70,"2020-04-16 10:23:56",621702
"HUMB",31.00,"2020-04-16 10:38:56",621718
"TCB",21.60,"2020-04-16 10:38:56",621720
"HUMB",29.00,"2020-04-16 10:53:56",621736
"TCB",22.60,"2020-04-16 10:53:56",621738
"TCB",17.30,"2020-04-16 09:08:56",621621
"HUMB",42.00,"2020-04-16 09:23:56",621637
"TCB",17.70,"2020-04-16 09:23:56",621639
"HUMB",39.00,"2020-04-16 09:38:56",621646
"TCB",18.50,"2020-04-16 09:38:56",621648
"HUMB",37.00,"2020-04-16 09:53:57",621664
"TCB",20.10,"2020-04-16 09:53:57",621666
